NMR_Challenge_ID,Formula,True names 
6,C4H8O3,Ethylene Glycolate
22,C9H10O2,2-ethoxy benzaldehyde
43,C9H10O2,2-Hydroxypropiophenone
45,C9H10O2,4-Chromanol
50,C14H14SO,Dibenzylsulfoxide
51,C9H10O2,EpoxyPhenoxyPropane 
53,C9H10O2,Methyl o-methylbenzoate
54,C9H10O2,Methyl phenylacetate
55,C9H10O2,O-Tolyl acetate
57,C10H16,Pentamethylcyclopentadiene
79,C9H11NO2,Phenylalanine
85,C8H9NO2,Paracetamol
91,C6H13ClO2,"2-chloro-1,1-diethoxyethane "
94,C4H6O2S,Divinyl sulfone
97,C6H8O,cyclohex-2-en-1-one 
100,C9H10O,(E)-3-phenylprop-2-en-1-ol 
102,C13H10,9H-fluorene
103,C7H8,"cyclohepta-1,3,5-triene "
106,C6H12O3,"2,4,6-trimethyl-1,3,5-trioxane "
107,C7H10O3,"4,4-dimethyldihydro-2H-pyran-2,6(3H)-dione "
108,C6H8N2O2S,4-aminobenzenesulfonamide 
109,C10H10O,"3,4-dihydronaphthalen-2(1H)-one "
114,C9H8O,"2,3-dihydro-1H-inden-1-one "
117,C13H9N,acridine 
