NMR_Challenge_ID,Formula,True names 
4,C9H10O,Propiophenone
7,C12H8Br2,"1,4-dibromobiphenyl"
10,C10H14,"1,2,4,5-tetramethylbenzene"
15,C14H15N,Dibenzylamine
17,C9H12O3,"1,3,5-trimethoxybenzene"
20,C6H10O3,Propionic Anhydride
21,C6H10O4,Diethyloxalate
23,C9H10O2,2-Phenylpropionic acid
26,C9H10O2,Benzyl acetate
27,C9H10O2,Benzyloxyacetaldehyde
28,C9H10O2,Ethyl benzoate
29,C9H10O2,Phenoxy-2-propanone
30,C9H10O2,Methyl p-Toluate
31,C9H10O2,p-Tolyl acetate
33,C5H16N2,tetramethylenediamine
36,C5H10O,2-Methylbut-3-en-2-ol
37,C8H7N,Benzyl cyanide
39,C7H1O4,"3,3-dimethylglutaric acid"
46,C9H10O2,4-Methoxyacetophenone
58,C3H4Cl4,"2,3-Dichloropropene"
61,C9H10O,2-Phenylpropionaldehyde
65,C7H5NO3,p-Nitrobenzaldehyde
70,C6H8O7,Citric Acid
75,C3H7NO,Dimethylformamide
80,C6H11O2Cl,4-chlorobutyl acetate
83,C9H11NO2,Ethyl 4-aminobenzoate
84,C10H10O4,Dimethyl phthalate
87,C7H14,Methylcyclohexane
92,C8H14,"2,5-dimethylhexa-2,4-diene"
95,C10H14O2,3-(benzyloxy)propan-1-ol
101,C14H22O,"3,5-di-tert-butylphenol"
110,C7H16O4,"1,1,3,3-tetramethoxypropane"
111,C3H8O3,"propane-1,2,3-triol"
116,C20H18O3,"4,4',4''-(ethane-1,1,1-triyl)triphenol"
119,C10H8N2,"4,4'-bipyridine"
121,C6H6N2O,isonicotinamide
123,C6H8O4,((E)-4-ethoxy-4-oxobut-2-enoic acid
125,C4H6O4S,"2,2'-thiodiacetic acid"
