NMR_Challenge_ID,Formula,True names 
1,C4H8O2,Ethyl Acetate 
2,C4H10O,Butan-2-ol
3,C5H8O,Cyclopentanone
5,C9H12,Mesityliene
8,C6H8O2,"1,4-cyklohexandienon"
9,C6H4Br2,"1,4-dibrombenzene"
11,C4H8Cl2,"1,4-dichlorobutane"
18,C3H6O,Acetone
19,C2H6O,Ethanol
24,C9H10O2,4-Ethoxybenzaldehyde
25,C9H10O2,Phenyl propinate
32,C6H10O2,"Hexane-2,5-dion"
34,C4H8O,Butan-2-on(butanone)
35,C5H10O3,Diethyl-carbonate
38,C5H12N2O,Tetramethylurea
41,C2H5NO,Acetamid
42,C5H9BrO2,Ethyl-2-Bromopropionate
44,C9H10O2,4-eEthylbenzoic Acid
48,C8H14O3,Butyric anhydride
49,C6H6,Benzene
52,C9H10O2,Hydrocinnammic Acid
56,C7H8,Toluene 
60,C2H5I,iodoethane/ Ethyl iodide
62,C8H8O2,p-anisaldehyde/4-methoxybenzaldehyde
63,C8H10O2,4-Methoxybenzyl alcohol
64,C9H11NO,Para-Dimethylaminobenzaldehyde
66,C10H14,t-Butylbenzene
67,C6H12,Cyclohexane
68,C2H3N,Acetonitril
69,C5H12,Pentane
71,C2H6SO,DMSO/Dimethyl sulfoxide
72,CH4O,Methanol
73,C4H10O,Diethyl ether
74,C4H8O,Tetrahydrofuran
76,C7H8O,Anisol
77,C4H10O2,Dimethoxyethane
78,C6H5Cl,Chlorobenzene
81,C10H15N,Isopropylbenzylamin
82,C7H12O,Cycloheptanone
86,C5H5N,Pyridine
88,C4H5N,Pyrrol
89,C8H10,P-Xylene
90,C8H10,O-Xylene
93,C3H7NO,N-methylacetamide/DR93
96,C8H10O,2-phenylethan-1-ol/DR96
98,C5H9N,3-methylbutanenitrile/DR98
99,C9H10O,1-phenylpropan-2-one/DR99
105,C6H5OBr,2-bromophenol
112,C7H5ClO2,4-chlorobenzoic acid
113,C8H10BrN,"4-bromo-N,N-dimethylaniline"
115,C6H7N,4-methylpyridine
122,C3H4O4,Malonic acid
124,C4H10N2,Piperazine
